TIPOLOGIA_STRUTTURA;ASP;DENOMINAZIONE_STRUTTURA;INDIRIZZO_SEDE_OPERATIVA;CITTA';SOGGETTO_GESTORE;INDIRIZZO_SEDE_LEGALE;NUMERO_TELEFONO;PEC;PROVVEDIMENTO_DI_ACCREDITAMENTO
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;RC;Centro Medico e di FKT Dott. P. Crupi S.r.l.;Via D. Muratori, 3;Reggio Calabria;Centro Medico e di FKT Dott. P. Crupi S.r.l.;Via D. Muratori, 3 Reggio Calabria;0965 892421;centromedicocrupi@pec.it;D.P.G.R. N. 1/2011
CENTRO DI RIABILITAZIONE ESTENSIVA EXTRAOSPEDALIERA;RC;Villa S. Agata s.a.s.;Via Asprea;Gallico, Reggio Calabria;Villa S. Agata s.a.s.;Via Rimembranze, 36 Gallico, Reggio Calabria;0965 682992;villasantagata@pec.villasantagata.it;D.P.G.R. N. 30/2014
RESIDENZA SANITARIA ASSISTENZIALE PER ANZIANI  (R2);CS;Villa Adelchi;Contrada Frailliti;Longobardi;Riace Srl;Via Panebianco, 293 Cosenza;0982 78067;riacesrl@legpec.it;"D.P.G.R. N. 1/2011 
DCA N. 174 del 05/12/2022"
RESIDENZA SANITARIA ASSISTENZIALE PER ANZIANI  (R2);CS;San Francesco di Paola;C.so Principi Lanza di Tabbia;San Nicola Arcella;Universiis Coop. Soc.;Via Cividina, 41/A Udine;0985 300511;sannicola@pec.universiis.it;D.P.G.R. N. 1/2011 Struttura ex art. 20 L. 67/88
RESIDENZA SANITARIA ASSISTENZIALE PER ANZIANI  (R2);CS;RSA Caloveto;C.da Dema;Caloveto;ASP Cosenza;Viale degli Alimena, Cosenza;ND;ND;D.P.G.R. N. 1/2011 Struttura ex art. 20 L. 67/88 attività sospesa
RESIDENZA SANITARIA ASSISTENZIALE PER ANZIANI  (R2);CS;Villa Torano ;C.da Macchia Tavola;Torano Castello;Medical Sport Center Srl;Via Dei Conti Ruffo, 15 Catanzaro;0984 506181;medicalsportcenter@pec.it;DCA N. 10 DEL 09/01/2023
RESIDENZA SANITARIA ASSISTENZIALE PER ANZIANI  (R2);CS;Villa Silvia;Via Degli Stadi snc;Altilia ;Villa Silvia S.r.l.;Via Degli Stadi snc Altilia (CS);0961 996168;villasilviasrl@pec.it;D.P.G.R. N. 1/2011 DCA n. 158 del 27/11/2019
RESIDENZA SANITARIA ASSISTENZIALE PER ANZIANI  (R2);CS;La Quiete s.a.s. di Pasquale Autolitano & C.;Contrada Canterame, 58;Castiglione Cosentino;La Quiete Srl;Via Filari, 18 Castiglione Cosentino (CS);0984 442229;rsalaquiete@pec.it;D.P.G.R. N. 1/2011
RESIDENZA SANITARIA ASSISTENZIALE PER ANZIANI  (R2);CS;Villa Bianca;Via Pirrò Schettini;Aprigliano;Villa Bianca;Via Pirrò Schettini Aprigliano (CS);0984 421155;villabianca-ma@pec.it;D.P.G.R. N. 1/2011
RESIDENZA SANITARIA ASSISTENZIALE PER ANZIANI  (R2);CS;Villa S. Stefano;Contrada Vallegiannò;S. Stefano di Rogliano;Villa Santo Stefano S.r.l.;Contrada Vallegiannò, Santo Stefano di Rogliano (CS);0961 996168;villa.santostefanosrl@pec.it;D.P.G.R. N. 1/2011 DCA n. 157 del 27/11/2019
RESIDENZA SANITARIA ASSISTENZIALE PER ANZIANI  (R2);CS;San Bartolo s.r.l.;Contrada San Bartolo;Mendicino;San Bartolo S.r.l.;P.zza F. Crispi, 6 Cosenza;0984 474965;rsasanbartolo@pec.libero.it                                                sanbartolosrl@legalmail.it;D.P.G.R. N. 1/2011
RESIDENZA SANITARIA ASSISTENZIALE PER ANZIANI  (R2);CS;Sadel CS di Salvatore Baffa s.r.l.;Via Surani, 18;Castiglione Cosentino;Sadel CS di Salvatore Baffa s.r.l.;Loc. Mola Cotronei (KR);0984 441808;sadel.sanraffaele@pec.it;"D.P.G.R. N. 1/2011 
Nota Prot.N. 207351 21/06/2013 

Nota prot. N. 152189 del 14/05/2015
"
RESIDENZA SANITARIA ASSISTENZIALE PER ANZIANI  (R2);CS;Villa Igea s.r.l.;Loc. Cozzi;San Fili;Villa Igea s.r.l.;Loc. Cozzi San Fili (CS);0984 642128;casadicuravillaigea@pec.it;D.P.G.R. N. 1/2011
RESIDENZA SANITARIA ASSISTENZIALE PER ANZIANI  (R2);CS;Villa Gioiosa;C.da Caldopiano;Montalto Uffugo;EFFEGI S.U.R.L. ;Via G. Sambiase, 24/F Cosenza;0984 930888;effegics@pec.it;"D.P.G.R. N. 1/2011 DCA n.35 del 08/02/2017 
DCA N. 97 del 30/08/2022"
RESIDENZA SANITARIA ASSISTENZIALE PER ANZIANI  (R2);CS;RU.IM. S.r.l.                                   (ex RSA Rizzo);Via A. De Gasperi;Campana;RU.IM. S.r.l. ;Via A. Ponchielli, 85 Pesaro;0983 93195;rsa.rizzo@open.legalmail.it                                                                    ru.im@open.legalmail.it;D.P.G.R. N. 1/2011 Nota prot. N. 337 04/05/2011 DCA n. 48 del 20/03/2019 DCA n. 11 del 23/01/2020
RESIDENZA SANITARIA ASSISTENZIALE PER ANZIANI  (R2);CS;RSA Anziani Spezzano Albanese;Via L. Pirandello, 4;Spezzano Albanese;"ATI MEDICASAIE
Capogruppo Medical Sport Center s.r.l.";Via Dei Conti Ruffo, 15 Catanzaro;0981 954158;medicalsportcenter@pec.it;DCA -TAR n. 00472 del 30/10/2015 Struttura ex art. 20 L. 67/88 DCA n. 1 del 07/01/2020
RESIDENZA SANITARIA ASSISTENZIALE PER ANZIANI  (R2);CS;RSA Anziani Mottafollone;Via L. Sciascia, 15;Mottafollone;"ATI MEDICASAIE
Capogruppo Medical Sport Center s.r.l.";Via Dei Conti Ruffo, 15 Catanzaro;0981 61155;medicalsportcenter@pec.it;DCA-TAR Calabria n. 00471 del 30/10/2015 Struttura ex art. 20 L. 67/88 DCA n. 1 del 07/01/2020
RESIDENZA SANITARIA ASSISTENZIALE PER ANZIANI  (R2);CS;Villa San Francesco;Viale degli Oleandri;Roggiano Gravina;Villa del Rosario s.r.l;Loc. Trepidò Sottano Cotronei (KR);0984 507010;villadelrosario.srl@pec.it;DCA n. 46 del 04/02/2020
RESIDENZA SANITARIA ASSISTENZIALE PER ANZIANI  (R2);CS;RSA San Carlo Borromeo;Via Tesauro n.2;Panettieri;I Greco Ospedali Riuniti Srl;Piazza M. Quintieri, 1 Cosenza;0984 822311;igreco@pec.it;DCA N. 129 del 17/10/2022
RESIDENZA SANITARIA ASSISTENZIALE PER ANZIANI  (R2);CS;Villa Azzurra;Via Olimpia, 1;Roseto Capo Spulico;Pegaso Srl;"Via Olimpia, 1
Roseto Capo Spulico (CS)";0981 913635;pegasoanziani@legalmail.it;DCA N. 168 del 30/11/2022
RESIDENZA SANITARIA ASSISTENZIALE MEDICALIZZATA (R1);CS;RSA Caloveto;C.da Dema;Caloveto;ASP Cosenza;Viale degli Alimena, Cosenza;ND;ND;D.P.G.R. N. 1/2011 Struttura ex art. 20 L. 67/88 attività sospesa
RESIDENZA SANITARIA ASSISTENZIALE MEDICALIZZATA (R1);CS;Sadel CS di Salvatore Baffa s.r.l.;Contrada Crocevia;Castiglione Cosentino;Sadel CS di Salvatore Baffa s.r.l.;Loc. Mola Cotronei (KR);0984 441808;sadel.sanraffaele@pec.it;"D.P.G.R. N. 1/2011 
Nota Prot.N. 207351 21/06/2013 

Nota prot. N. 152189 del 14/05/2015
"
RESIDENZA SANITARIA ASSISTENZIALE MEDICALIZZATA (R1);CS;Villa Gioiosa;C.da Caldopiano;Montalto Uffugo;EFFEGI S.U.R.L. ;Via G. Sambiase, 24/F Cosenza;0984 930888;effegics@pec.it;"D.P.G.R. N. 1/2011 DCA n.35 del 08/02/2017 
DCA N. 97 del 30/08/2022"
RESIDENZA SANITARIA ASSISTENZIALE MEDICALIZZATA (R1);CS;Villa Igea s.r.l.;Loc. Cozzi;San Fili;Villa Igea s.r.l.;Loc. Cozzi San Fili (CS);0984 642128;casadicuravillaigea@pec.it;DCA N.33 del 07/04/2022
RESIDENZA SANITARIA ASSISTENZIALE PER DISABILI (RD4);CS;La Quiete s.a.s. di Pasquale Autolitano & C.;Contrada Canterame, 58;Castiglione Cosentino;La Quiete Srl;Via Filari, 18 Castiglione Cosentino (CS);0984 442229;rsalaquiete@pec.it;D.P.G.R. N. 1/2011
RESIDENZA SANITARIA ASSISTENZIALE PER DISABILI (RD4);CS;Santa Chiara s.r.l.;Via dei Cedri;S. Giovanni in Fiore;Santa Chiara s.r.l.;Via dei Cedri S. Giovanni in Fiore (CS);0984 975965;sachiara@pec.it;D.P.G.R. N. 1/2011 Note prot. n. 242442/2018 e prot. n. 256126/2018
RESIDENZA SANITARIA ASSISTENZIALE PER DISABILI (RD4);CS;Villa Igea s.r.l.;Loc. Cozzi;San Fili;Villa Igea s.r.l.;Loc. Cozzi San Fili (CS);0984 642128;casadicuravillaigea@pec.it;D.P.G.R. N. 1/2011
SERVIZI PRIVATI DI ASSISTENZA ALLE PERSONE DIPENDENTI DA SOSTANZE D'ABUSO;CS;L'ULIVO                                                                                                                                                               ;Via Crisoria, 15;Tortora;L'Ulivo Soc. Coop. Onlus;Via Crisoria, 15 Tortora (CS);0985 764822;ulivo@pec.confcooperative.it;D.P.G.R. N. 1/2011
SERVIZI PRIVATI DI ASSISTENZA ALLE PERSONE DIPENDENTI DA SOSTANZE D'ABUSO;CS;REGINA PACIS;Via Nazionale, 12;Spezzano Albanese;Assoc. Comunità Regina Pacis Onlus;Viale della Repubblica, 136 Cosenza;0984 393877;associazionereginapacis@pec.it;D.P.G.R. N. 1/2011
SERVIZI PRIVATI DI ASSISTENZA ALLE PERSONE DIPENDENTI DA SOSTANZE D'ABUSO;CS;IL MANDORLO SOC. COOP.;Contrada Laccata;Lauropoli - Cassano allo Jonio;Il Mandorlo società cooperativa ;C.da Laccata Lauropoli Cassano allo Ionio (CS);02 29400930;ilmandorlocooperativasociale@open.legalmail.it;"D.P.G.R. N. 1/2011 
DCA 19 del 08-02-17"
SERVIZI PRIVATI DI ASSISTENZA ALLE PERSONE DIPENDENTI DA SOSTANZE D'ABUSO;CS;REGINA PACIS;Via Risorgimento, 49;Torano Castello;Assoc. Comunità Regina Pacis Onlus;Viale della Repubblica, 136 Cosenza;0984 393877;associazionereginapacis@pec.it;D.P.G.R. N. 1/2011
SERVIZI PRIVATI DI ASSISTENZA ALLE PERSONE DIPENDENTI DA SOSTANZE D'ABUSO;CS;IL DELFINO  Eden;Contrada Spina;Castiglione Cosentino;Centro di Solidarietà Il Delfino Soc. Coop. Onlus;Ctr Macchiabbella,58 Cosenza;0984 1655730;centrodisolidarietaildelfino@legalmail.it;D.P.G.R. N. 1/2011 Nota prot. n. 145970/2018
SERVIZI PRIVATI DI ASSISTENZA ALLE PERSONE DIPENDENTI DA SOSTANZE D'ABUSO;CS;REGINA PACIS;C.da Maglionzi;San Benedetto Ullano;Assoc. Comunità Regina Pacis Onlus;Viale della Repubblica, 136 Cosenza;0984 393877;associazionereginapacis@pec.it;D.P.G.R. N. 1/2011
RESIDENZA SANITARIA ASSISTENZIALE PER ANZIANI  (R2);KR;Centro S. Giuseppe;Via S. Baffa, 250;Cotronei;SADEL di Salvatore BAFFA SpA;Via degli Scipioni, 252 Roma;0962 492016;sadel.spa@pec.it;"DCA n. 66 del 03.05.17 
DCA n. 36 del 28.01.2020"
RESIDENZA SANITARIA ASSISTENZIALE PER ANZIANI  (R2);KR;Santa Rita;Via S. Paolo, 22 Contr. Filippa;Mesoraca;Santa Rita Soc. Coop.;Via S. Paolo, 22 Mesoraca (KR);0962 489103;presidenza@pec.santaritarsa.it;D.P.G.R. N. 1/2011 Nota prot. n. 21341/2018 Nota prot. n. 314033/2019
RESIDENZA SANITARIA ASSISTENZIALE PER ANZIANI  (R2);KR;Villa San Giuseppe;Via S. Baffa, 250;Cotronei;SADEL di Salvatore BAFFA SpA;Via degli Scipioni, 252 Roma;0962 44108;sadel.spa@pec.it;DCA n. 65 del 03.05.17 DCA n. 35 del 28.01.2020
RESIDENZA SANITARIA ASSISTENZIALE PER ANZIANI  (R2);KR;Villa Ermelinda;Via Pozzoseccagno;Cutro;Progetto Terza Età Srl;Loc. Pozzoseccagno Cutro (KR);0962 771139;ptesrl@pec.it;"DCA n. 69 del 04.05.2017
DECRETO DEL COMMISSARIO AD ACTA del 01/09/2022"
RESIDENZA SANITARIA ASSISTENZIALE PER ANZIANI  (R2);KR;Casa Giardino S.r.l.;Via Laghi Silani;Cotronei;Casa Giardino S.r.l.;Via Laghi Silani Cotronei (KR);0962 44108;casagiardino.oliveti@pec.it;DCA n. 75 del 04.05.2017 Nota prot. n. 25011 del 22/01/2019
RESIDENZA SANITARIA ASSISTENZIALE PER ANZIANI  (R2);KR;Savelli Hospital Srl;Via Roma;Savelli;Savelli Hospital Srl;Via Roma Savelli (KR);0962 44108;savellihospital.srl@pec.it;DCA n. 135 del 19/10/17DECRETO DEL COMMISARIO AD ACTA MINISTERIALE del 20/09/2021
RESIDENZA SANITARIA ASSISTENZIALE PER ANZIANI  (R2);KR;SADEL San Teodoro s.r.l.;Loc. San Lorenzo;Cerenzia;SADEL San Teodoro s.r.l.;Via S. Baffa, 246 Cotronei (KR);0984 995450;sadel.santeodoro@pec.it;"DCA n. 138 del 19/10/17
DECRETO DEL COMMISARIO AD ACTA MINISTERIALE del 22/09/2021"
RESIDENZA SANITARIA ASSISTENZIALE PER ANZIANI  (R2);KR;Villa del Rosario s.r.l.;Loc. Trepidò Sottano;Cotronei;Villa del Rosario s.r.l.;Loc. Trepidò Sottano Cotronei (KR);0962 46121;villadelrosario.srl@pec.it;"DCA N. 251 DEL 07/12/2018
DECRETO DEL COMMISARIO AD ACTA MINISTERIALE del 22/09/2021"
RESIDENZA SANITARIA ASSISTENZIALE PER DISABILI (RD4);KR;Santino Covelli;Loc. Carusa;Cotronei;Correnti S.r.l.;C.da Chiusa, 4 Cotronei (KR);0962 44682/44751;correnti1srl@legalmail.it;DCA n. 62 del 03.05.17 DCA n. 189 del 23.10.18
RESIDENZA SANITARIA ASSISTENZIALE MEDICALIZZATA (R1);KR;Villa San Giuseppe;Via S. Baffa, 250;Cotronei;SADEL di Salvatore BAFFA SpA;Via degli Scipioni, 252 Roma;0962 44108;sadel.spa@pec.it;DCA n. 65 del 03.05.17 DCA n. 35 del 28.01.2020
RESIDENZA SANITARIA ASSISTENZIALE MEDICALIZZATA (R1);KR;Centro S. Giuseppe;Via S. Baffa, 250;Cotronei;SADEL di Salvatore BAFFA SpA;Via degli Scipioni, 252 Roma;0962 492016;sadel.spa@pec.it;DCA n. 66 del 03.05.17 DCA n. 36 del 28.01.2020
SERVIZI PRIVATI DI ASSISTENZA ALLE PERSONE DIPENDENTI DA SOSTANZE D'ABUSO;KR;CENTRO CAST Onlus;C.da Alice;Cirò Marina;CAST Onlus;C.da Alice Cirò Marina (KR);0962 35313;castonlus@legalmail.it;D.P.G.R. N. 1/2011
SERVIZI PRIVATI DI ASSISTENZA ALLE PERSONE DIPENDENTI DA SOSTANZE D'ABUSO;KR;AGORA' KROTON;Località Sovereto Statale 106;Isola Capo Rizzuto;Soc. Coop Sociale AGORA’ KROTON O.N.L.U.S.;Via Spiaggia delle Forche, 25 Crotone;0962 901674;info@pec.agorakroton.it ;D.P.G.R. N. 1/2011 Nota prot. n. 41904 del 6.2.2018 Nota prot. n. 41904/2018
SERVIZI PRIVATI DI ASSISTENZA ALLE PERSONE DIPENDENTI DA SOSTANZE D'ABUSO;KR;CO.RI.S.S. DROGA STOP;Via S. Francesco, 49;Crotone;CO.RI.S.S.;Via C. Levi, 75 Sarrottino Tiriolo (CZ);0962 905049;coriss@pec.coriss.it;D.P.G.R. N. 1/2011
SERVIZI PRIVATI DI ASSISTENZA ALLE PERSONE DIPENDENTI DA SOSTANZE D'ABUSO;KR;EXODUS;C.da S. Lorenzo;Caccuri;Fondazione Exodus Onlus;V.le Marotta, 18/20 Milano;0984 994369;fondazione.exodus@pec.exodus.it;D.P.G.R. N. 1/2011
RESIDENZA SANITARIA ASSISTENZIALE PER ANZIANI  (R2);CZ;S. Maria del Soccorso;C.da Gelluise - Loc. Petra, 8;Serrastretta ;Istituto Santa Maria del Soccorso S.r.l.;Via Dei Conti Ruffo, 15 Catanzaro;0968 818816;vivereinsieme@pec.it;D.P.G.R. N. 1/2011
RESIDENZA SANITARIA ASSISTENZIALE PER ANZIANI  (R2);CZ;Ippolito Dodaro;Via Generale Carini, 75;Falerna ;Arenella Srl;Via Generale Carini, 75 Falerna (CZ);;arenellasrl@pec.it;DCA N. 143 del 27/10/2022
RESIDENZA SANITARIA ASSISTENZIALE PER ANZIANI  (R2);CZ;Villa Elisabetta ;S.S. Km 13 ;Cortale;G.A. 29 s.r.l.;Via D. Curcio, 2 Lamezia Terme (CZ);0968 27859;ga29srl@pec.it;D.P.G.R. N. 1/2011
RESIDENZA SANITARIA ASSISTENZIALE PER ANZIANI  (R2);CZ;S. Domenico;Loc. Bastia;Lamezia Terme;G.A. 29 s.r.l.;Via D. Curcio, 2 Lamezia Terme (CZ);0968 27859;ga29srl@pec.it;D.P.G.R. N. 1/2011
RESIDENZA SANITARIA ASSISTENZIALE PER ANZIANI  (R2);CZ;S. Vito Hospital;Loc. Mesa;S. Vito sullo Jonio;Casa di Cura Giovanni Paolo II Srl;Via Dei Conti Ruffo, 15 Catanzaro;0961 904142;vivereinsieme@pec.it;D.P.G.R. N. 1/2011
RESIDENZA SANITARIA ASSISTENZIALE PER ANZIANI  (R2);CZ;S. Francesco Hospital;Loc. Carfellà;Settingiano ;Associazione Vivere Insieme;Via Dei Conti Ruffo, 15 Catanzaro;0961 904156;vivereinsieme@pec.it;D.P.G.R. N. 1/2011
RESIDENZA SANITARIA ASSISTENZIALE PER ANZIANI  (R2);CZ;S. Maria Del Monte;Via Roma, 272;S. Sostene ;Centro Medico A. Fleming s.r.l.;Via Dalmazia, 3 Soverato (CZ);0967 533108;centromedicoafleming@pec.it;"D.P.G.R. N. 1/2011 
DCA N. 115/2015"
RESIDENZA SANITARIA ASSISTENZIALE PER ANZIANI  (R2);CZ;La Ginestra Hospital;Via Filangeri;Chiaravalle C.le;Società Salus M.C. S.r.l.;Via M. Ceravolo, 34 Chiaravalle C.le (CZ);0961 919810;desantisdomenicoantonio@pec.it;DCA N. 73 del 03/03/2023
RESIDENZA SANITARIA ASSISTENZIALE PER ANZIANI  (R2);CZ;Casa Amica;Corso Umberto I ;Fossato Serralta ;PA.OB. S.r.l.;Corso Umberto I Fossato Serralta (CZ);0961 925141;paob.srl@pec.it;D.P.G.R. N. 1/2011
RESIDENZA SANITARIA ASSISTENZIALE PER ANZIANI  (R2);CZ;Madonna di Porto ;Loc. Madonna di Porto;Gimigliano;AIE S.r.l.;Via dei Conti Ruffo, 15 Catanzaro;0961 999746;aie@pec.it;DCA N. 18 del 10/01/2023
RESIDENZA SANITARIA ASSISTENZIALE PER ANZIANI  (R2);CZ;Padre G. Moscati ;Loc. Tre Fontane;Sersale;AIE S.r.l.;Via dei Conti Ruffo, 15 Catanzaro;0961 936194;aie@pec.it;DCA N. 17 del 10/01/2023
RESIDENZA SANITARIA ASSISTENZIALE PER ANZIANI  (R2);CZ;"Casa della Carità               
don Nicola Paparo";Loc. Madonna dei Termini;Gasperina;Fondazione BETANIA ONLUS;Via Molise, 21 Catanzaro;0961 763252;fondazionebetania@pec.it;D.P.G.R. N. 1/2011 Nota prot. n. 68691 del 18/02/2019 Nota prot. n. 408636 del 27/11/2019
RESIDENZA SANITARIA ASSISTENZIALE PER ANZIANI  (R2);CZ;S. Anna;Via Berlinguer, 52;Botricello ;UALSI Sant’Anna Impresa SocialeS.r.l;Via Berlinguer, 52 Botricello (CZ);0961 963695;fondazioneualsi@postecert.it;"D.P.G.R. N. 1/2011 
DCA N. 23 del 10/01/2023"
RESIDENZA SANITARIA ASSISTENZIALE PER ANZIANI  (R2);CZ;Mons.  G. Apa;Via Madonna dei Cieli;Catanzaro;Karol Betania Strutture Sanitarie S.r.l.;Via Molise, 21 Catanzaro;;fondazionebetania@pec.it;"D.P.G.R. N. 1/2011 Nota prot. n. 68691 del 18/02/2019 Nota prot. n. 408636 del 27/11/2019
DG N. 11825 del 05/10/2022
DCA N. 167 del 29/11/2022"
RESIDENZA SANITARIA ASSISTENZIALE PER DISABILI (RD4);CZ;Casa Sacri Cuori;Via Madonna dei Cieli;Catanzaro;Karol Betania Strutture Sanitarie S.r.l.;Via Molise, 21 Catanzaro;;fondazionebetania@pec.it;"D.P.G.R. N. 1/2011 Nota prot. n. 68691 del 18/02/2019 Nota prot. n. 408636 del 27/11/2019
DG N. 11825 del 05/10/2022"
RESIDENZA SANITARIA ASSISTENZIALE PER DISABILI (RD4);CZ;La Rinascita;C.da Monaci, 1;S. Caterina sullo Jonio;La Rinascita S.r.l.;C.da Monaci, 1 S. Caterina sullo Jonio (CZ);0967 84000;casadicuralarinascita@pec.it;D.P.G.R. N. 1/2011
RESIDENZA SANITARIA ASSISTENZIALE PER DISABILI (RD4);CZ;S. Anna;Via Berlinguer, 52;Botricello ;UALSI Sant’Anna Impresa SocialeS.r.l;Via Berlinguer, 52 Botricello (CZ);0961 963695;fondazioneualsi@postecert.it;"D.P.G.R. N. 1/2011 
DCA N. 23 del 10/01/2023"
SERVIZI PRIVATI DI ASSISTENZA ALLE PERSONE DIPENDENTI DA SOSTANZE D'ABUSO;CZ;PROGETTO SUD;Via delle Vigne;Lamezia Terme;Associazione Comunità Progetto Sud Onlus;Via Conforti, 61/A Lamezia Terme (CZ);0968 462483;progettosud@pec.it;D.P.G.R. N. 1/2011 DCA n. 28/2017 Nota prot. n. 89623/2017: errore materiale
SERVIZI PRIVATI DI ASSISTENZA ALLE PERSONE DIPENDENTI DA SOSTANZE D'ABUSO;CZ;PROGETTO SUD;Via Reillo, 5;Lamezia Terme;Associazione Comunità Progetto Sud Onlus;Via Conforti, 61/A Lamezia Terme (CZ);0968 462482;progettosud@pec.it;D.P.G.R. N. 1/2011 DCA n. 185/2018
SERVIZI PRIVATI DI ASSISTENZA ALLE PERSONE DIPENDENTI DA SOSTANZE D'ABUSO;CZ;"MALGRADO TUTTO
Brutto Anatroccolo";Loc. Trigna;Lamezia Terme;Malgrado Tutto Soc. Coop.;Via S. Foderaro, 120 Lamezia Terme (CZ);0968 453387;coopmalgradotutto@pec.it;D.P.G.R. N. 1/2011 Nota prot. n. 10965/2019
SERVIZI PRIVATI DI ASSISTENZA ALLE PERSONE DIPENDENTI DA SOSTANZE D'ABUSO;CZ;"MALGRADO TUTTO
Brutto Anatroccolo";Loc. Pian del Duca;Lamezia Terme;Malgrado Tutto Soc. Coop.;Via S. Foderaro, 120 Lamezia Terme (CZ);0968 453387;coopmalgradotutto@pec.it;D.P.G.R. N. 1/2011 Nota prot. n. 10965/2019
SERVIZI PRIVATI DI ASSISTENZA ALLE PERSONE DIPENDENTI DA SOSTANZE D'ABUSO;CZ;"Centro Calabrese Solidarietà
Villa Samuele";C.da Cuturelle, 46/A;Catanzaro;Centro Calabrese Solidarietà;Via L. della Valle, 106 Catanzaro;0961 769722;ccscatanzaro@pec.it;D.P.G.R. N. 1/2011 Nota prot. n. 320392 DEL 24/10/2016
SERVIZI PRIVATI DI ASSISTENZA ALLE PERSONE DIPENDENTI DA SOSTANZE D'ABUSO;CZ;"Centro Calabrese Solidarietà
Villa Emilia";Via degli Abruzzi, 38;Catanzaro;Centro Calabrese Solidarietà;Via L. della Valle, 106 Catanzaro;0961 769720;ccscatanzaro@pec.it;D.P.G.R. N. 1/2011 Nota prot. n. 320392 DEL 24/10/2016
SERVIZI PRIVATI DI ASSISTENZA ALLE PERSONE DIPENDENTI DA SOSTANZE D'ABUSO;CZ;Zarapoti Società Cooperativa Sociale;Viale Lucrezia della Valle snc c/o Parco Commerciale Le Aquile;Catanzaro;Zarapoti Società Cooperativa Sociale;"Viale Lucrezia della Valle snc c/o Parco Commerciale Le Aquile
Catanzaro";0961  553558;zarapoti@pec.it;DCA n. 54 del 08/02/2018
RESIDENZA SANITARIA ASSISTENZIALE PER ANZIANI  (R2);VV;Madonna delle Grazie;Via A. Moro;Filadelfia;Madonna delle Grazie Srl;Via Dei Conti Ruffo, 15 Catanzaro;0968 725299;vivereinsieme@pec.it;D.P.G.R. N. 1/2011
SERVIZI PRIVATI DI ASSISTENZA ALLE PERSONE DIPENDENTI DA SOSTANZE D'ABUSO;VV;"MARANATHA'
Centro di prima accoglienza                 ";Via Saccari, 78;Mileto;Associaz. Gruppo Maranathà Onlus;Via Saccari, 78 Mileto (VV);0963 336566;maranatha@pec.it;D.P.G.R. N. 1/2011
SERVIZI PRIVATI DI ASSISTENZA ALLE PERSONE DIPENDENTI DA SOSTANZE D'ABUSO;VV;MARANATHA'                        Casa degli Alberi;Via C. Battisti;Mileto;Associaz. Gruppo Maranathà Onlus;Via Saccari, 78 Mileto (VV);0963 338339;maranatha@pec.it;D.P.G.R. N. 1/2011
RESIDENZA SANITARIA ASSISTENZIALE MEDICALIZZATA (R1);VV;Don Mottola Medical Center;Località Sant’Angelo;Drapia;Villa delle Rose Srl;"Via Roma, 270
Monterosso Calabro (VV)";0963 325241;villadellerosesrl@pec.it;DCA N. 50 del 09/02/2023
RESIDENZA SANITARIA ASSISTENZIALE PER ANZIANI  (R2);RC;Clinica Villa Vittoria s.r.l.;via cav. Ettore Ursino snc Antonimina (RC);Antonimina;Clinica Villa Vittoria s.r.l.;via cav. Ettore Ursino snc Antonimina (RC);0964 312371;mutua_benevolentia@pec.it;"D.P.G.R. N. 1/2011 
nota prot. n. 380958 del 20.11.2020 (presa d'atto trasformazione societaria)"
RESIDENZA SANITARIA ASSISTENZIALE PER ANZIANI  (R2);RC;Universo;Via Nazionale, 6;Africo;ARPAH Onlus;Via Nazionale, 23 Africo (RC);0964 991034;arpah@pec.cgn.it;D.P.G.R. N. 1/2011
RESIDENZA SANITARIA ASSISTENZIALE PER ANZIANI  (R2);RC;Villa Salus s.p.a.;C.da Marinella                   Via Madre Teresa Di Calcutta, 1;Bruzzano Zeffirio;Villa Salus s.p.a.;C.da Marinella Via Madre Teresa Di Calcutta, 1 Bruzzano Zeffirio (RC);0964 934967;villasalus@legalmail.it;D.P.G.R. N. 1/2011
RESIDENZA SANITARIA ASSISTENZIALE PER ANZIANI  (R2);RC;Don Loria;Via Zanotti Bianco;Oppido Mamertina;Ente Morale Fondazione Famiglia Germanò Onlus;Piazza Orfanotrofio, 3 Oppido Mamertina (RC);0966 85082;famigliagermano.onlus@pec.it;D.P.G.R. N. 1/2011
RESIDENZA SANITARIA ASSISTENZIALE PER ANZIANI  (R2);RC;Mons. Prof. Antonino Messina;Via S. Pellico, 1;S. Eufemia                 D' Aspromonte;Antonino S.r.l.;Via Silvio Pellico, 1 Sant'Eufemia D'Aspromonte (RC);0966 967108;cooperativa.attiva.scs@pec.it;D.P.G.R. N. 1/2011
RESIDENZA SANITARIA ASSISTENZIALE PER ANZIANI  (R2);RC; Villa Anya s.r.l.;Via SS 106 km 28,5;Melito Porto Salvo; Villa Anya s.r.l.;Via SS 106 km 28,5 Melito Porto Salvo (RC);"0965 777158 
 347 4441247";villaanya@pec.it;D.P.G.R. N. 1/2011 Nota prot. n. 251597 DEL 31/07/2017
RESIDENZA SANITARIA ASSISTENZIALE PER ANZIANI  (R2);RC; Villa Serena s.r.l.;C.da Modenella  ;Rosalì - Reggio Calabria; Villa Serena s.r.l.;ND;0965 670030;rsavillaserena@arubapec.it;D.P.G.R. N. 1/2011
